region;casos_nuevos;casos_totales;casos_recuperados;casos_fallecidos;fecha
Arica y Parinacota;  0;  1;NA;0;2020-03-21
Tarapacá;  0;  0;NA;0;2020-03-21
Antofagasta;  4; 10;NA;0;2020-03-21
Atacama;  0;  1;NA;0;2020-03-21
Coquimbo;  0;  3;NA;0;2020-03-21
Valparaíso;  8; 13;NA;0;2020-03-21
Metropolitana; 55;359;NA;0;2020-03-21
O’Higgins;  1;  7;NA;0;2020-03-21
Maule;  1; 15;NA;0;2020-03-21
Ñuble; 14; 58;NA;0;2020-03-21
Biobío; 11; 30;NA;0;2020-03-21
Araucanía;  6; 15;NA;0;2020-03-21
Los Ríos;  0;  1;NA;0;2020-03-21
Los Lagos;  2; 20;NA;0;2020-03-21
Aysén;  0;  1;NA;0;2020-03-21
Magallanes;  1;  3;NA;0;2020-03-21
Total;103;537; 8;0;2020-03-21
