region;casos_nuevos;casos_totales;fecha
Arica y Parinacota;0;0;2020-03-19
Tarapacá;0;0;2020-03-19
Antofagasta;0;2;2020-03-19
Atacama;0;1;2020-03-19
Coquimbo;0;0;2020-03-19
Valparaíso;0;1;2020-03-19
Metropolitana;22;174;2020-03-19
O’Higgins;0;0;2020-03-19
Maule;2;11;2020-03-19
Ñuble;0;26;2020-03-19
Biobío;3;7;2020-03-19
Araucanía;3;4;2020-03-19
Los Ríos;0;1;2020-03-19
Los Lagos;7;8;2020-03-19
Aysén;0;1;2020-03-19
Magallanes;0;2;2020-03-19
Total;37;238;2020-03-19
