region;casos_nuevos;casos_totales;casos_recuperados;casos_fallecidos;fecha
Arica y Parinacota;  1;   3;NA;0;2020-03-26
Tarapacá;  1;   5;NA;0;2020-03-26
Antofagasta;  1;  20;NA;0;2020-03-26
Atacama;  0;   1;NA;0;2020-03-26
Coquimbo;  1;  13;NA;0;2020-03-26
Valparaíso; 12;  44;NA;0;2020-03-26
Metropolitana; 64; 746;NA;3;2020-03-26
O’Higgins;  3;  14;NA;0;2020-03-26
Maule;  1;  31;NA;0;2020-03-26
Ñuble;  3; 114;NA;0;2020-03-26
Biobío; 14; 109;NA;1;2020-03-26
Araucanía; 37; 111;NA;0;2020-03-26
Los Ríos;  3;  14;NA;0;2020-03-26
Los Lagos; 16;  60;NA;0;2020-03-26
Aysén;  1;   2;NA;0;2020-03-26
Magallanes;  6;  19;NA;0;2020-03-26
Total;164;1306;33;4;2020-03-26
